name,所在地,TEL,url,営業時間,定休日,image_url,免許
(株)Ｉ・Ｅ不動産,沖縄県沖縄市知花 1-26-12,098-963-4233,https://www.e-uchina.net/fudosan_kaisha/5929,09:00〜17:00,日・祝祭日,https://cdn.e-uchina.net/media/shop/005929/d65bb78f279a08f9f3613f0080a8740e0bf4e42a.jpg,国土交通大臣 (2) 第9114号
株式会社アイエー住宅販売,沖縄県嘉手納町水釜 147 奥間店舗 2号室,098-989-1135,https://www.e-uchina.net/fudosan_kaisha/7405,月-金 09:00〜18:00土・日・祝 09:00〜18:00,水曜日,https://cdn.e-uchina.net/media/shop/007405/e1338192f20b01d56bd92165c79dd42605998b68.jpg,国土交通大臣(2)第8590号
株式会社アイエー住宅販売 沖縄中部支店,沖縄県沖縄市東 2-25-1,098-929-1188,https://www.e-uchina.net/fudosan_kaisha/7315,平日 09:30〜18:30土・日・祝日 09:00〜18:00,毎週水曜日,https://cdn.e-uchina.net/media/shop/007315/52476c91f9747c6e13f208f7f45a94ed452600a7.jpg,国土交通大臣(2)第8590号
Ｉ・Ｓハウジング,沖縄県那覇市銘苅 211-7,098-894-2921,https://www.e-uchina.net/fudosan_kaisha/5984,09:00〜18:00,日曜日,https://cdn.e-uchina.net/media/shop/005984/0e2dd490002bfef77c51a17df5ec959b7ca8c981.jpg,沖縄県知事免許(3)第3935号
IMG合同会社,沖縄県那覇市牧志 1-1-14 安木屋ビル4階,098-869-3575,https://www.e-uchina.net/fudosan_kaisha/7699,10:00〜18:00,日曜・祝日･年末年始,https://cdn.e-uchina.net/media/shop/007699/b883d6bdecf9919ea28bb46757830ba44f212c23.jpg,沖縄県知事免許(1)5167号
株式会社アイダ設計　沖縄豊見城店,沖縄県豊見城市翁長 533-9,050-3173-2499,https://www.e-uchina.net/fudosan_kaisha/6389,09:00〜18:00,水曜日,https://cdn.e-uchina.net/media/shop/006389/3c05efa90037bee0c2e7b5319667845f5c94c6c2.jpg,国土交通大臣(8)4179号
ｉーｔｅｃ(株),沖縄県浦添市伊祖 2-2-2,098-877-1033,https://www.e-uchina.net/fudosan_kaisha/5972,営業A 09:00〜18:00水曜日 09:00〜17:00,日・祝祭日・年末年始,https://cdn.e-uchina.net/media/shop/005972/7ad50ce17db8ac6448e4bdd2be8a992a1a5d439d.jpg,沖縄県知事免許(4)第3871号
アイビー不動産,鹿児島県奄美市名瀬真名津町 13-16,0997-69-4645,https://www.e-uchina.net/fudosan_kaisha/7924,10:00〜18:00,不定休,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,鹿児島県知事免許　(02)第005960号
あい不動産（有）あい企画開発,沖縄県宜野湾市宜野湾 3-14-23,098-896-1507,https://www.e-uchina.net/fudosan_kaisha/5773,月～金 10:00〜17:00 事務所対応可能です。一度お越しください。,土曜・日曜祝日,https://cdn.e-uchina.net/media/shop/005773/29f185cb2025c7938e1d1be624be4d2a86a77020.jpg,沖縄県知事免許(4)第3794号
(有)アイ・ホーム,沖縄県糸満市西崎 2-17-13,098-994-5988,https://www.e-uchina.net/fudosan_kaisha/5268,月土 09:00〜18:00祝祭日 09:00〜18:00,日曜日,https://cdn.e-uchina.net/media/shop/005268/93d8a002fb41023e1e3250fd6a2914e777f43d08.jpg,沖縄県知事免許(4)第3720号
(有)ｉホーム不動産コンサルティング,沖縄県読谷村波平 1703-1,098-988-7062,https://www.e-uchina.net/fudosan_kaisha/5832,09:00〜18:00,日曜日,https://cdn.e-uchina.net/media/shop/005832/4d7d141372944dc258e77cc2d635731a7def41ba.jpg,沖縄県知事免許(4)第3583号
I’m不動産企画合同会社,鹿児島県奄美市名瀬石橋町 13-6,0997-57-0089,https://www.e-uchina.net/fudosan_kaisha/7909,09:00〜18:00,日曜日,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,鹿児島県知事（3）第5634号
(株)アイムホーム,沖縄県北谷町桑江 251-2 101,098-989-1659,https://www.e-uchina.net/fudosan_kaisha/5701,月-日 09:00〜17:30営業B,毎週水曜日（ただし祝日は営業）,https://cdn.e-uchina.net/media/shop/005701/6e21d01bdccf182689121f3a7d3c5ce34a403ca6.jpg,沖縄県知事免許(3)第4113号
アイムホーム石垣島,沖縄県石垣市新栄町 75-24,0980-83-0880,https://www.e-uchina.net/fudosan_kaisha/5664,09:30〜18:00,第3土曜日・日曜日・祝祭日,https://cdn.e-uchina.net/media/shop/005664/95e31582876527d49203baf4040ffa86dbfc7344.jpg,沖縄県知事免許(4)第3902号
株式会社アイモーション,沖縄県那覇市宇栄原 1-28-29,098-988-1131,https://www.e-uchina.net/fudosan_kaisha/6441,09:00〜18:00,土日、お盆、GW、年末年始,https://cdn.e-uchina.net/media/shop/006441/5326a5fc08b813136432239797849bf26cc32b82.jpg,国土交通大臣(1)第9069
株式会社アイモーション,沖縄県那覇市宇栄原 1-28-29,098-988-1131,https://www.e-uchina.net/fudosan_kaisha/6512,09:00〜18:00,土曜・日曜・祝日・お盆・GW・年末年始,https://cdn.e-uchina.net/media/shop/006512/56c3e0f3118cf14acc117c7ef65543a426c0268c.jpg,国土交通大臣免許（2）9069号
株式会社Island Housing,沖縄県沖縄市上地 4-1-19,098-989-3406,https://www.e-uchina.net/fudosan_kaisha/7868,10:00〜18:00,年末年始,https://cdn.e-uchina.net/media/shop/007868/e4dde741bfed9b227d823ce724e3638d2ec48440.jpg,沖縄県知事（1）5375
（株）アイランドホーム沖縄,沖縄県沖縄市園田 3-3-21,098-989-9900,https://www.e-uchina.net/fudosan_kaisha/5693,09:00〜18:00,水曜日・祭日,https://cdn.e-uchina.net/media/shop/005693/fe3bd1faf70c1c58c42a6ee4e676073fcf5aff80.jpg,沖縄県知事(４)第３７６１号
アイランド・リアルエステート,沖縄県糸満市真栄里 1401-5,098-987-4362,https://www.e-uchina.net/fudosan_kaisha/7864,09:00〜18:00 電話が繋がらない時はこちらにお掛けください　090(3539)6407 髙橋まで,日曜日,https://cdn.e-uchina.net/media/shop/007864/93f62acc78fd914eeb86e89717440ce25a14c60e.jpg,沖縄県知事(1)第5357号
(有)アイランドリゾート企画,沖縄県石垣市登野城 1122,0980-82-8457,https://www.e-uchina.net/fudosan_kaisha/6299,営業A 09:00〜18:00営業B,日･祝※事前にご連絡頂ければ対応可能,https://cdn.e-uchina.net/media/shop/006299/a25835cd853d10982972a3b44d6d92bef1db3785.jpg,沖縄県知事免許(2)第3235号
(株)アイワコーポレーション,沖縄県沖縄市東 1-4-18 東マンション101号室,098-937-6888,https://www.e-uchina.net/fudosan_kaisha/5396,10:00〜18:00,日・祝祭日,https://cdn.e-uchina.net/media/shop/005396/81ab9343634571c4ccf81441732d9f3d1e3d76ea.jpg,沖縄県知事免許(3)第3073号
(株)アイワベルデ,沖縄県那覇市天久 762-1 プラザ天久A,098-851-5433,https://www.e-uchina.net/fudosan_kaisha/5704,月～金 09:30〜17:00,土日・祝祭日・年末年始,https://cdn.e-uchina.net/media/shop/005704/9a4d42fa79e56551c96b53b6b95d7754631ae014.jpg,沖縄県知事免許(5)第3286号
(株)アヴァンティ,沖縄県宜野湾市宇地泊 2-5-7 MTビル2F 2-B,098-898-9167,https://www.e-uchina.net/fudosan_kaisha/5985,09:00〜17:00,日曜日.祝祭日,https://cdn.e-uchina.net/media/shop/005985/5aee514e391d4e51eece325683d78a50bf78acf1.jpg,沖縄県知事免許(3)第3928号
有限会社アオイ企画,沖縄県那覇市泊 3-1-28,098-863-0707,https://www.e-uchina.net/fudosan_kaisha/6193,月-金 09:00〜17:00,土・日・祝日,https://cdn.e-uchina.net/media/shop/006193/c8125be978d1dc23f844c414ab2d3623b409ca65.jpg,沖縄県知事免許(9)第1692号
(有)あおいハウス,沖縄県沖縄市照屋 1-32-13,098-938-0208,https://www.e-uchina.net/fudosan_kaisha/5620,09:00〜18:00,土・日・祝祭日,https://cdn.e-uchina.net/media/shop/005620/181f3b19a3655528926dbd13496b2eede3135951.jpg,沖縄県知事免許(4)第3638号
碧城建設株式会社,沖縄県沖縄市泡瀬 4-30-9,090-3796-5222,https://www.e-uchina.net/fudosan_kaisha/6537,09:00〜17:00,土・日・祝日,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事(1)第5627号
(有)青空住宅,沖縄県北中城村島袋 601-5,098-932-1501,https://www.e-uchina.net/fudosan_kaisha/5540,10:00〜18:00,土日祝祭日,https://cdn.e-uchina.net/media/shop/005540/c968046189c49c7c4e51a8af4a597cabc9c30075.jpg,沖縄県知事免許(4)第3741号
(資)アカネ産業,沖縄県浦添市勢理客 2-18-9 102,098-877-1914,https://www.e-uchina.net/fudosan_kaisha/5162,月-土 10:00〜19:00,祝祭日・日曜日,https://cdn.e-uchina.net/media/shop/005162/fb9f774bf98896e60b3d1de8c61d7fb426923de3.jpg,沖縄県知事免許(11)第0576号
赤嶺土地建物,沖縄県那覇市牧志 3-18-18,098-866-1230,https://www.e-uchina.net/fudosan_kaisha/6905,10:00〜18:00,土・日・祝日,https://cdn.e-uchina.net/media/shop/006905/90e5ddb9f708c18a97d4e4edf9716c9954981f96.jpg,沖縄県知事免許（11）第0895号
有限会社　秋建設,沖縄県北中城村安谷屋 205-1,098-923-3820,https://www.e-uchina.net/fudosan_kaisha/5348,09:00〜17:30,土・日・祝日,https://cdn.e-uchina.net/media/shop/005348/10b7230bfc3f7555d5e1edee519efa580f9e2175.jpg,沖縄県知事免許(6)第3027号
(有)明城建設,沖縄県浦添市経塚 417,0120-921-772,https://www.e-uchina.net/fudosan_kaisha/5355,09:00〜21:00,年中無休（年末年始除く）,https://cdn.e-uchina.net/media/shop/005355/c7b3e4c3fb3b175ba2a22ad155f40a091ac4ba17.jpg,沖縄県知事免許(5)第3309号
(有)晶土地企画設計,沖縄県沖縄市胡屋 2-4-25 神村産業第2ビル3F,098-982-2115,https://www.e-uchina.net/fudosan_kaisha/5337,月-土 09:00〜18:00,日曜日,https://cdn.e-uchina.net/media/shop/005337/fa6e91a758b9800f4036920f9bd9228d1837fd8b.jpg,沖縄県知事免許(8)第2377号
アクティヴハウジング,沖縄県北中城村安谷屋 1535-5,098-935-1212,https://www.e-uchina.net/fudosan_kaisha/6997,月-土 09:00〜18:00,日曜日,https://cdn.e-uchina.net/media/shop/006997/ff7df89bea7d1bcadfd1f4e40a41a9253915063b.jpg,沖縄県知事(6)第3081号
ACTLEAD,沖縄県那覇市赤嶺 2-3-1 Fステージ赤嶺ステーションC,080-7238-3248,https://www.e-uchina.net/fudosan_kaisha/7679,月−日 10:00〜19:00,火曜日,https://cdn.e-uchina.net/media/shop/007679/a4b0f9c885dd7d9c7316b1834046dc0ab3fdcae6.jpg,沖縄県知事免許番号（1）第5140号
あけみお不動産,沖縄県名護市伊差川 6 1F,0980-43-0155,https://www.e-uchina.net/fudosan_kaisha/6400,09:30〜17:30,水曜日・日曜日,https://cdn.e-uchina.net/media/shop/006400/53e51bfe0ed966b4ac370629771c341425458930.jpg,沖縄県知事(1)第5400号
(株)ASAKA,沖縄県那覇市松尾 1-12-13,098-866-6636,https://www.e-uchina.net/fudosan_kaisha/5725,09:30〜18:30,土日祝,https://cdn.e-uchina.net/media/shop/005725/b17a62e3235d57180fb908fe476f0edd1733ac2b.jpg,沖縄県知事免許(2)第3921号
安里駅前不動産(株),沖縄県那覇市安里 2-6-35,098-860-7110,https://www.e-uchina.net/fudosan_kaisha/7666,10:00〜18:00 早朝・１９時以降のご案内可能♪お気軽にお問い合わせください,火・水曜日は休みます♪,https://cdn.e-uchina.net/media/shop/007666/28cb87bbdc983e7663a309c10cbe681a74476d5b.jpg,沖縄県知事（1）5121号
あさと不動産　合同会社,沖縄県宜野湾市志真志 4-3-10,098-963-4101,https://www.e-uchina.net/fudosan_kaisha/7711,09:00〜18:00,土・日・祝日(定休日は予約営業有り),https://cdn.e-uchina.net/media/shop/007711/3326440f85cfe58aec78269da3457fe444bde8c2.jpg,沖縄県知事(1)第5198号
アサヒ不動産,沖縄県宜野湾市宇地泊 169-B201,098-943-4580,https://www.e-uchina.net/fudosan_kaisha/7245,月-金 09:00〜17:00,水・土・日・祝日・ゴールデンウイーク・年末年始,https://cdn.e-uchina.net/media/shop/007245/0c34298a2bcb2e82b13f4ca9084e7dc0c3b7fb58.jpg,沖縄県知事免許番号（2）第4585号
アジアコーポレーション(株),沖縄県豊見城市翁長 854-2 サクセスビル 303,098-856-9665,https://www.e-uchina.net/fudosan_kaisha/6955,09:30〜18:00 営業時間外でもお気軽にお問合せ下さい！,土・日曜日・祝日,https://cdn.e-uchina.net/media/shop/006955/fc279cb20054159dca7e833fb83064c6d00e4bd5.jpg,沖縄県知事免許(2)第4501号
(有)アシステート,沖縄県那覇市安謝 1-3-38 5F,098-864-1219,https://www.e-uchina.net/fudosan_kaisha/5920,10:00〜18:00,水曜日,https://cdn.e-uchina.net/media/shop/005920/9b432301e0f506859509b2a73035e7255a563342.jpg,沖縄県知事免許(5)第3088号
株式会社アシスト/イーゴス株式会社,沖縄県宜野湾市伊佐 2-4-2,098-943-2010,https://www.e-uchina.net/fudosan_kaisha/6422,08:00〜17:00,土曜・日曜・祝日,https://cdn.e-uchina.net/media/shop/006422/857428b2d6e279deb7693bba483b2b71283c7770.jpg,沖縄県知事（2）4491
(株)アシスト,沖縄県読谷村比謝 494 ラフィーネ大湾 101,098-989-6116,https://www.e-uchina.net/fudosan_kaisha/5750,09:00〜20:00,無し,https://cdn.e-uchina.net/media/shop/005750/45f708267e0a7a8e3f29b8062da520be390f27b9.jpg,沖縄県知事免許(2)第4163号
(有)アシストホーム,沖縄県北谷町桑江 596-12,098-936-4417,https://www.e-uchina.net/fudosan_kaisha/5127,09:00〜18:00土曜日 09:00〜17:00,日祝祭日,https://cdn.e-uchina.net/media/shop/005127/1cc784b18f9f567fc3d6bcdc0272e84da3d36973.jpg,沖縄県知事免許(4)第3377号
合同会社　アスター,沖縄県那覇市首里山川町 3-5-1,098-886-7100,https://www.e-uchina.net/fudosan_kaisha/7957,09:30〜18:30,日、祝、GW、お盆、年末年始,https://cdn.e-uchina.net/media/shop/007957/be6e05c7913596055fcf2a9f4bb2c223a0deeaf3.jpg,沖縄県知事（1）第5491号
(株)あすなろ観光開発,沖縄県沖縄市安慶田 4-2-12,098-930-3333,https://www.e-uchina.net/fudosan_kaisha/5076,09:00〜18:00,土･日･祝祭日,https://cdn.e-uchina.net/media/shop/005076/6c90425ec5c225d2ab7c677714863f28a15d2311.jpg,沖縄県知事免許(1)第4497号
アズフロンティア,沖縄県浦添市内間 4-20-9,098-988-3468,https://www.e-uchina.net/fudosan_kaisha/6284,営業A 09:30〜17:00営業B,不定休,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事免許(2)4394号
アスリンクホーム株式会社,沖縄県浦添市城間 2-2-6 MANSION MIYAGI202,098-943-9838,https://www.e-uchina.net/fudosan_kaisha/7218,月-土 09:00〜18:00,日祝祭日,https://cdn.e-uchina.net/media/shop/007218/830ea89bf8971a94b2e0440f3c3039fc7e7532c0.jpg,沖縄県知事免許番号（2）第4631号
株式会社アセットプラン,沖縄県沖縄市中央 1-20-14 比嘉ビル2F,098-989-4576,https://www.e-uchina.net/fudosan_kaisha/6466,09:00〜17:00 平日営業,土曜・日曜・祝日　GW・年末年始,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事免許（1）第5475号
アセットホーム,沖縄県豊見城市豊見城 1131-1 パークサイド 101,098-914-3135,https://www.e-uchina.net/fudosan_kaisha/7186,09:00〜17:00,土・日・祝・その他,https://cdn.e-uchina.net/media/shop/007186/8cdc1c3984454214190f40f8f4f6f9d0051590c3.jpg,沖縄県知事免許番号(2)第4600号
株式会社アップルパーク沖縄営業所,沖縄県那覇市銘苅 3-1-38 1F,098-868-9530,https://www.e-uchina.net/fudosan_kaisha/7342,平日 09:00〜17:30,土・日・祝日,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,
アップルホーム,沖縄県沖縄市住吉 1-1-4,098-939-9070,https://www.e-uchina.net/fudosan_kaisha/5132,月-金 09:00〜18:00土 09:00〜12:00,日曜日･祝祭日,https://cdn.e-uchina.net/media/shop/005132/c5190d0abecb60034f9bd740f73ab06f10880e1d.jpg,沖縄県知事免許(5)第3425号
(株)ADVANCE,沖縄県沖縄市美里 4-13-18 翁長店舗103,098-989-4842,https://www.e-uchina.net/fudosan_kaisha/5708,09:00〜17:00,日・祝祭日,https://cdn.e-uchina.net/media/shop/005708/7d47f311908067b4a6bcaa4685c8d9d28fc2593f.jpg,沖縄県知事免許(3)第4150号
アドバンスホーム,沖縄県那覇市金城 2-2-4,098-859-7666,https://www.e-uchina.net/fudosan_kaisha/5332,09:00〜18:00,日祝祭日,https://cdn.e-uchina.net/media/shop/005332/31f90314c070855ec4bc8648e4c96ac941860d38.jpg,沖縄県知事免許(5)第3422号
株式会社アトムホーム,沖縄県宜野湾市真志喜 1-1-3 大西ハウジング104,098-988-1064,https://www.e-uchina.net/fudosan_kaisha/7748,09:00〜18:00,土･日･祝・GW・年末年始,https://cdn.e-uchina.net/media/shop/007748/d7907810611454a6d1b7cd52bc3f8c13da016dd2.jpg,沖縄県知事免許(1)第4782号
アパ土地不動産(有),沖縄県石垣市真栄里 873-1,0980-83-3080,https://www.e-uchina.net/fudosan_kaisha/6295,09:00〜18:00,,https://cdn.e-uchina.net/media/shop/006295/05c7c9e042cd8b95b2a744fd7b4f28c4c107fd22.jpg,沖縄県知事免許(１)第4140号
アパマンショップ奄美大島店,鹿児島県奄美市名瀬小浜町 4-28 ＡＩＳビル１階,0997-69-3399,https://www.e-uchina.net/fudosan_kaisha/7903,09:30〜18:00日、祝 10:00〜18:00,■水曜日　■第2・第4火曜日　■3月は休まず営業,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,鹿児島県知事免許(2)第6004号
アマホーム,鹿児島県奄美市名瀬伊津部町 1-5,0997-53-1212,https://www.e-uchina.net/fudosan_kaisha/7900,09:00〜18:00,日、祝祭日,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,鹿児島県知事(2)第6056号
奄美アイランドホーム株式会社,鹿児島県龍郷町浦 466-3,0997-57-1717,https://www.e-uchina.net/fudosan_kaisha/7917,10:00〜17:00,水、土、日,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,鹿児島県知事免許　(02)第005907号
奄美宅建,鹿児島県奄美市名瀬久里町 3-31,0997-57-7708,https://www.e-uchina.net/fudosan_kaisha/7925,10:00〜18:00,不定休,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,鹿児島県知事(2)5609号
奄美NEXT不動産,鹿児島県奄美市名瀬幸町 2-7,0997-69-3828,https://www.e-uchina.net/fudosan_kaisha/7896,10:00〜18:00,水曜日　日曜日（シーズンにより異なる）,https://cdn.e-uchina.net/media/shop/007896/fbe07e2cd931f4cf8f8c18507badc62ed7937838.jpg,鹿児島県知事(2)第5792号
奄美不動産鑑定所,鹿児島県奄美市名瀬伊津部町 17-18 すいれんマンション1F,0997-69-4000,https://www.e-uchina.net/fudosan_kaisha/7929,09:00〜17:00,土曜日・日曜日・祝祭日,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,鹿児島県知事免許（２）第５９４６号
(有)新居開発,沖縄県那覇市楚辺 2-3-1,098-853-9200,https://www.e-uchina.net/fudosan_kaisha/6864,09:00〜17:00,土・日・祝祭日,https://cdn.e-uchina.net/media/shop/006864/8546263789748140c36062424706673aa5b09c66.jpg,沖縄県知事免許(6)第3001号
新垣産業(株),沖縄県名護市為又 1219-87,0980-52-3635,https://www.e-uchina.net/fudosan_kaisha/5365,09:00〜18:00,3月16日休業、他3月中は水曜定休！日曜営業（繁忙期以外は第二・第四土曜・毎週日曜）,https://cdn.e-uchina.net/media/shop/005365/dd0742d3ade201cf07b51bdb4c5af0801a72a0bc.jpg,沖縄県知事免許(8)第2380号
新垣ハウジング,沖縄県那覇市安里 81 asato.bld 202,090-3796-9305,https://www.e-uchina.net/fudosan_kaisha/6711,09:00〜18:00,不定休,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事(2)第4399号
株式会社　新崎不動産,沖縄県南風原町照屋 40-6,098-996-2433,https://www.e-uchina.net/fudosan_kaisha/7681,07:00〜17:30,不定休,https://cdn.e-uchina.net/media/shop/007681/3f895181943baabcde07b6722c7d22d87aa5f46d.jpg,沖縄県知事（１）第５１４９号
（株）あられ,沖縄県糸満市糸満 1662 201号,098-994-7733,https://www.e-uchina.net/fudosan_kaisha/7817,10:00〜18:00,日曜日,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事免許（１）第５２８７号
あるあるハウス,沖縄県那覇市山下町 30-12 高良ビル,098-852-0283,https://www.e-uchina.net/fudosan_kaisha/5413,09:30〜18:00,日祝祭日,https://cdn.e-uchina.net/media/shop/005413/a9634a70415f9cb1618ad329210072c2f3c15c97.jpg,沖縄県知事免許(4)第3641号
株式会社　アルチェハウジング,沖縄県那覇市牧志 2-21-16,098-917-0202,https://www.e-uchina.net/fudosan_kaisha/7688,09:00〜18:00祝日 10:00〜18:00,土曜日・日曜日,https://cdn.e-uchina.net/media/shop/007688/afc78a9a49f07b92e3394fd16f08546c8f3dbfde.jpg,沖縄県知事（１）第５１２４号
株式会社 アルファ開発,沖縄県沖縄市安慶田 2-19-11,098-989-1237,https://www.e-uchina.net/fudosan_kaisha/7567,10:00〜18:00,お盆、GW、年末年始,https://cdn.e-uchina.net/media/shop/007567/c8c4e26f31724a78b5fffdbccde8b180595200bc.jpg,沖縄県知事免許(1)第4991号
安居不動産株式会社,沖縄県読谷村瀬名波 763-1,098-961-4379,https://www.e-uchina.net/fudosan_kaisha/7399,10:00〜17:00,不定休,https://cdn.e-uchina.net/media/shop/007399/fa27831d090e83b449bf0e15f503b6e97d3898fd.jpg,沖縄県知事(1)第4911号
アンドユー住宅株式会社,沖縄県那覇市安里 1-1-15 なかよし荘204号,098-867-0210,https://www.e-uchina.net/fudosan_kaisha/7632,10:00〜17:30 ※営業時間外はお電話にて承ります。ご遠慮なくお問合せください。,土・日・祝祭日・お盆・年末年始・GW,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事（1）第5642号
合同会社Anライフ,沖縄県西原町我謝 241-66 メゾン小橋川105,098-943-5029,https://www.e-uchina.net/fudosan_kaisha/7195,月-土 09:00〜18:00,日曜・祝日,https://cdn.e-uchina.net/media/shop/007195/7e7a7b92dd33ede22e581da18e84cb985cce22e1.jpg,沖縄県知事免許(2)第4615
(株)安里不動産,沖縄県那覇市松尾 1-11-17,098-866-8578,https://www.e-uchina.net/fudosan_kaisha/5169,09:00〜18:00,日・祝祭日　年末年始,https://cdn.e-uchina.net/media/shop/005169/7b1de9cfea7877ec5946f01ce7d6c110e7f3ab3b.jpg,沖縄県知事免許(3)第4392号
イーゴス株式会社,沖縄県宜野湾市我如古 2-1-14,098-890-1153,https://www.e-uchina.net/fudosan_kaisha/7276,月-土 09:00〜18:00,土日曜・祝日,https://cdn.e-uchina.net/media/shop/007276/e7a93ab7302de5c1bca8f6e21ff343bc5d52b0f5.jpg,沖縄県知事免許番号（1）第4491号
イースト･フォレスト株式会社,沖縄県沖縄市登川 1-27-3 當銘アパート102,080-9853-4979,https://www.e-uchina.net/fudosan_kaisha/7595,10:00〜18:00,土･日･祝,https://cdn.e-uchina.net/media/shop/007595/c7c649fadb8f68827952dc1e1e6581916f68d359.jpg,沖縄県知事免許(1)第5078号
株式会社 イーハウス 沖縄支店,沖縄県那覇市安里 3-4-9 丸隆ビル102,098-943-0789,https://www.e-uchina.net/fudosan_kaisha/7345,10:00〜19:00,ナシ,https://cdn.e-uchina.net/media/shop/007345/0c43916b26d7c6db715884d6c348803dd1ca168e.jpg,国土交通大臣(1)第9246号
(有)イープ,沖縄県那覇市壺屋 1-4-5 コーポ池原１階,098-988-1664,https://www.e-uchina.net/fudosan_kaisha/5689,09:00〜18:00,日曜・祝祭日（電話対応可）・年末年始（12/29～1/3）,https://cdn.e-uchina.net/media/shop/005689/8fc5bf20cd27e6f10ca064b0b76d4b21751d5b36.jpg,沖縄県知事免許(8)第2362号
イー・フレス株式会社,沖縄県那覇市上間 213-1 101,098-996-1510,https://www.e-uchina.net/fudosan_kaisha/7425,09:00〜18:00,水曜日,https://cdn.e-uchina.net/media/shop/007425/468a1a9cfeb67e1f6f0ae42cb161827143a7e82e.jpg,沖縄県知事免許(4)第3835号
